material_id,material_family,common_name,sub_family,ISO,EN,DIN,WNr,ANSI_AA_USA,SAE_AISI,UNS,JIS_JP,GB_CN,BS_GB,AFNOR_FR,UNE_ES,UNI_IT,density_g_cm3_nominal,notes,confidence,review_status,source_ids
al_1050,Aluminum,Aluminum 1050,1000 series,Al 99.5,EN AW-1050A,3.0255,,1050A,,A91050,A1050,1050A,,1050A,,2.71,Commercially pure aluminum. Good formability and corrosion resistance.,0.90,verified,matweb_manual;machiningdoctor_materials
al_1060,Aluminum,Aluminum 1060,1000 series,Al 99.6,EN AW-1060,,,1060,,A91060,,1060,,1060,,2.70,High purity aluminum. Excellent corrosion resistance.,0.90,verified,matweb_manual
al_2011,Aluminum,Aluminum 2011,2000 series,Al Cu6BiPb,EN AW-2011,3.1655,,2011,,A92011,A2011,,2011,,,2.82,Free-machining aluminum. Leaded for chip break.,0.85,verified,matweb_manual
al_2017,Aluminum,Aluminum 2017,2000 series,Al Cu4MgSi,EN AW-2017A,3.1325,,2017A,,A92017,A2017,2A11,2017A,2017A,,2.79,High-strength AlCu. Known as Duralumin. Aging hardenable.,0.85,verified,matweb_manual
al_2024,Aluminum,Aluminum 2024,2000 series,Al Cu4Mg1,EN AW-2024,3.1355,,2024,,A92024,A2024,2A12,2024,2024,,2.78,High-strength aircraft alloy. Limited corrosion resistance.,0.95,verified,matweb_manual;machiningdoctor_materials
al_3003,Aluminum,Aluminum 3003,3000 series,Al Mn1Cu,EN AW-3003,3.0517,,3003,,A93003,A3003,,3003,3003,,2.73,General-purpose Mn alloy. Good workability.,0.90,verified,matweb_manual
al_5052,Aluminum,Aluminum 5052,5000 series,Al Mg2.5,EN AW-5052,3.3523,,5052,,A95052,A5052,5A02,5052,5052,,2.68,Marine-grade Al-Mg alloy. Excellent corrosion resistance.,0.95,verified,matweb_manual
al_5083,Aluminum,Aluminum 5083,5000 series,Al Mg4.5Mn0.7,EN AW-5083,3.3547,,5083,,A95083,A5083,,5083,5083,,2.66,High-Mg marine alloy. Weldable and strong.,0.90,verified,matweb_manual
al_5754,Aluminum,Aluminum 5754,5000 series,Al Mg3,EN AW-5754,3.3535,,5754,,A95754,,,5754,5754,,2.67,Medium-strength Al-Mg. Good for welding and forming.,0.85,verified,matweb_manual
al_6061,Aluminum,Aluminum 6061,6000 series,Al Mg1SiCu,EN AW-6061,3.3211,,6061,,A96061,A6061,6061,6061,6061,,2.70,General-purpose heat-treatable Al-Mg-Si. Common for CNC.,0.95,verified,matweb_manual;machiningdoctor_materials
